"year","quarter","state","city","code","immid_R","immid_A","immid_D","immid_P","other_R","other_A","other_D","other_P"
"2014","2","Texas","Harlingen ","HLG",565,829,77,906,NA,NA,NA,21
"2014","2","Texas","Houston ","HOU",1902,1914,99,3255,NA,70,NA,341
"2014","2","Texas","San Antonio ","SNA",1002,775,59,1874,NA,63,NA,62
"2014","2","Utah","Salt Lake City ","SLC",403,412,47,874,NA,12,NA,25
"2014","2","Vermont","St. Albans ","STA",29,89,11,52,NA,NA,NA,NA
"2014","2","Virginia","Norfolk ","NOR",284,324,25,526,NA,NA,NA,NA
"2014","2","Washington","Seattle ","SEA",685,610,47,1272,NA,10,NA,NA
"2014","2","Washington","Spokane ","SPO",35,47,NA,40,NA,NA,NA,NA
"2014","2","Washington","Yakima","YAK",74,195,NA,148,NA,NA,NA,NA
"2014","2","Wisconsin","Milwaukee ","MIL",272,244,37,482,NA,NA,NA,14
"2014","2","Service Center","California","WSC",319,47234,2484,19553,47689,32185,4879,373067
"2014","2","Service Center","Nebraska","NSC",57050,52379,853,121977,1774,4448,624,5722
"2014","2","Service Center","Texas","SSC",11605,30571,450,36952,329,1609,99,1454
"2014","2","Service Center","Vermont","ESC",12322,4216,1946,31986,12572,11347,2663,142011
"2014","3","Alaska","Anchorage ","ANC",58,110,NA,105,NA,NA,NA,NA
"2014","3","Arizona","Phoenix ","PHO",894,782,42,1602,NA,25,NA,105
"2014","3","Arizona","Tucson","TUC",348,280,14,575,NA,NA,NA,NA
"2014","3","Arkansas","Fort Smith ","FSA",90,74,NA,119,NA,NA,NA,NA
"2014","3","California","Chula Vista","CVC",521,422,26,754,NA,NA,NA,NA
"2014","3","California","Fresno ","FRE",432,362,13,783,NA,22,NA,29
"2014","3","California","Imperial","IMP",97,125,13,171,NA,NA,NA,10
"2014","3","California","Los Angeles ","LOS",1700,1658,97,2949,NA,NA,NA,134
"2014","3","California","Los Angeles County ","LAC",1698,1102,114,3645,NA,17,NA,66
"2014","3","California","Sacramento ","SAC",498,478,50,923,NA,NA,NA,NA
"2014","3","California","San Bernardino","SBD",1237,1028,43,2466,NA,24,NA,10
"2014","3","California","San Diego ","SND",407,384,30,701,NA,16,NA,24
"2014","3","California","San Fernando Valley","SFV",997,1016,72,1995,NA,11,NA,36
"2014","3","California","San Francisco","SFR",1507,1494,71,2646,NA,50,NA,69
"2014","3","California","San Jose ","SNJ",959,940,27,1520,NA,24,NA,NA
"2014","3","California","Santa Ana","SAA",966,1045,56,2401,NA,11,NA,NA
"2014","3","Colorado","Denver ","DEN",698,386,77,2104,NA,26,NA,NA
"2014","3","Connecticut","Hartford ","HAR",567,503,59,1624,NA,NA,NA,NA
"2014","3","Delaware","Dover","DVD",NA,NA,NA,NA,NA,NA,NA,NA
"2014","3","District of Columbia","Washington ","WAS",1001,843,128,2203,NA,11,NA,35
"2014","3","Florida","Hialeah","HIA",481,436,40,929,NA,17,NA,30
"2014","3","Florida","Jacksonville","JAC",309,354,45,494,NA,NA,NA,12
"2014","3","Florida","Kendall","KND",462,370,48,1070,NA,12,NA,32
"2014","3","Florida","Miami ","MIA",883,834,86,2806,NA,32,NA,128
"2014","3","Florida","Oakland Park","OKL",1137,970,114,2445,NA,29,NA,63
"2014","3","Florida","Orlando ","ORL",768,676,85,2307,NA,NA,NA,26
"2014","3","Florida","TAM","TAM",771,503,72,2244,NA,21,NA,31
"2014","3","Florida","West Palm Beach","WPB",591,605,59,930,NA,27,NA,NA
"2014","3","Georgia","Atlanta ","ATL",1546,2149,273,2611,NA,84,NA,30
"2014","3","Hawaii","Honolulu ","HHW",266,220,14,653,NA,NA,NA,34
"2014","3","Idaho","Boise ","BOI",80,85,NA,119,NA,NA,NA,NA
"2014","3","Illinois","Chicago ","CHI",2028,1649,183,6722,NA,30,NA,300
"2014","3","Indiana","Indianapolis ","INP",293,296,37,534,NA,NA,NA,10
"2014","3","Iowa","Des Moines","DSM",103,87,NA,273,NA,NA,NA,14
"2014","3","Kansas","Wichita","WIC",141,100,NA,225,NA,NA,NA,10
"2014","3","Kentucky","Louisville ","LOU",145,166,20,306,NA,NA,NA,12
"2014","3","Louisiana","New Orleans ","NOL",323,405,34,541,NA,20,NA,NA
"2014","3","Maine","Portland ","POM",48,73,10,79,NA,NA,NA,NA
"2014","3","Maryland","Baltimore ","BAL",1063,963,83,2553,NA,22,NA,18
"2014","3","Massachusetts","Boston ","BOS",1103,1094,73,2338,NA,15,NA,24
"2014","3","Massachusetts","Lawrence","LAW",440,403,36,871,NA,NA,NA,23
"2014","3","Michigan","Detroit ","DET",594,719,68,1343,NA,28,NA,176
"2014","3","Minnesota","St. Paul ","SPM",485,497,43,962,NA,11,NA,28
"2014","3","Missouri","Kansas City ","KAN",305,286,35,449,NA,11,NA,23
"2014","3","Missouri","St. Louis ","STL",146,186,17,334,NA,NA,NA,10
"2014","3","Montana","Helena ","HEL",32,121,NA,101,NA,NA,NA,NA
"2014","3","Nebraska","Omaha ","OMA",120,77,14,247,NA,NA,NA,NA
"2014","3","Nevada","Las Vegas ","LVG",616,427,28,986,NA,NA,NA,20
"2014","3","Nevada","Reno ","REN",73,99,13,168,NA,NA,NA,NA
"2014","3","New Hampshire","Manchester ","MAN",86,125,NA,140,NA,NA,NA,NA
"2014","3","New Jersey","Mount Laurel","MTL",434,442,40,691,NA,NA,NA,14
"2014","3","New Jersey","Newark ","NEW",2117,2093,156,4151,NA,71,11,274
"2014","3","New Mexico","Albuquerque ","ABQ",162,102,12,260,NA,NA,NA,NA
"2014","3","New York","Albany ","ALB",106,102,NA,239,NA,NA,NA,11
"2014","3","New York","Buffalo ","BUF",198,224,26,479,NA,NA,NA,16
"2014","3","New York","Long Island","LNY",1291,995,33,2750,NA,12,NA,50
"2014","3","New York","New York ","NYC",3940,4204,636,9450,NA,54,20,365
"2014","3","New York","Queens","QNS",1365,1803,38,2880,NA,NA,NA,40
"2014","3","North Carolina","Charlotte ","CLT",398,415,42,580,NA,NA,NA,NA
"2014","3","North Carolina","Raleigh","RAL",431,358,45,826,NA,NA,NA,NA
"2014","3","Ohio","Cincinnati ","CIN",136,186,NA,272,NA,NA,NA,NA
"2014","3","Ohio","Cleveland ","CLE",218,214,17,330,NA,NA,NA,NA
"2014","3","Ohio","Columbus","CLM",235,215,41,304,NA,NA,NA,NA
"2014","3","Oklahoma","Oklahoma City ","OKC",264,133,22,990,NA,10,NA,36
"2014","3","Oregon","Portland ","POO",377,192,27,927,NA,NA,NA,NA
"2014","3","Pennsylvania","Philadelphia","PHI",947,924,81,2018,NA,11,NA,12
"2014","3","Pennsylvania","Pittsburgh ","PIT",208,135,17,352,NA,NA,NA,NA
"2014","3","Rhode Island","Providence ","PRO",176,172,27,288,NA,NA,NA,NA
"2014","3","South Carolina","Charleston ","CHL",252,271,30,422,NA,NA,NA,NA
"2014","3","Tennessee","Memphis ","MEM",395,385,30,756,NA,15,NA,12
"2014","3","Texas","Dallas ","DAL",1757,1616,141,4808,NA,24,NA,238
"2014","3","Texas","El Paso ","ELP",666,480,25,832,NA,NA,NA,42
"2014","3","Texas","Harlingen ","HLG",685,555,35,1026,NA,15,NA,NA
"2014","3","Texas","Houston ","HOU",2065,1838,158,3423,NA,46,NA,463
"2014","3","Texas","San Antonio ","SNA",1179,1319,41,1748,NA,39,NA,31
"2014","3","Utah","Salt Lake City ","SLC",442,383,24,990,NA,12,NA,22
"2014","3","Vermont","St. Albans ","STA",23,63,NA,135,NA,NA,NA,NA
"2014","3","Virginia","Norfolk ","NOR",304,295,34,531,NA,NA,NA,NA
"2014","3","Washington","Seattle ","SEA",710,420,37,1436,NA,NA,NA,NA
"2014","3","Washington","Spokane ","SPO",41,59,NA,59,NA,NA,NA,NA
"2014","3","Washington","Yakima","YAK",76,203,10,98,NA,NA,NA,NA
"2014","3","Wisconsin","Milwaukee ","MIL",262,315,34,540,NA,NA,NA,13
"2014","3","Service Center","California","WSC",2245,12850,3044,6655,54094,49439,4242,374442
"2014","3","Service Center","Nebraska","NSC",62686,49570,1840,127601,2013,2532,430,4985
"2014","3","Service Center","Texas","SSC",13097,23844,1179,23756,396,1082,153,831
"2014","3","Service Center","Vermont","ESC",13836,14699,1324,30130,14055,5418,2511,149042
"2014","4","Alaska","Anchorage ","ANC",74,117,NA,114,NA,NA,NA,NA
"2014","4","Arizona","Phoenix ","PHO",784,801,40,1803,NA,NA,NA,10
"2014","4","Arizona","Tucson","TUC",233,283,14,520,NA,NA,NA,NA
"2014","4","Arkansas","Fort Smith ","FSA",71,101,NA,117,NA,NA,NA,NA
"2014","4","California","Chula Vista","CVC",464,380,11,861,NA,NA,NA,13
"2014","4","California","Fresno ","FRE",428,352,NA,939,NA,NA,NA,43
"2014","4","California","Imperial","IMP",103,160,NA,161,NA,NA,NA,NA
"2014","4","California","Los Angeles ","LOS",1480,1759,96,3260,NA,NA,NA,80
"2014","4","California","Los Angeles County ","LAC",1506,1216,150,4092,NA,11,NA,54
"2014","4","California","Sacramento ","SAC",514,496,37,973,NA,NA,NA,NA
"2014","4","California","San Bernardino","SBD",1151,902,58,2980,NA,NA,NA,47
"2014","4","California","San Diego ","SND",468,295,23,946,NA,NA,NA,12
"2014","4","California","San Fernando Valley","SFV",899,737,70,2444,NA,NA,NA,86
"2014","4","California","San Francisco","SFR",1434,1462,58,2773,NA,25,NA,74
"2014","4","California","San Jose ","SNJ",887,761,37,1738,NA,30,NA,13
"2014","4","California","Santa Ana","SAA",933,983,81,2162,NA,15,NA,11
"2014","4","Colorado","Denver ","DEN",690,489,93,2277,NA,NA,NA,NA
"2014","4","Connecticut","Hartford ","HAR",645,674,85,1607,NA,NA,NA,NA
"2014","4","Delaware","Dover","DVD",NA,NA,NA,NA,NA,NA,NA,NA
"2014","4","District of Columbia","Washington ","WAS",1071,775,78,2547,NA,12,NA,21
"2014","4","Florida","Hialeah","HIA",449,422,34,1003,NA,14,NA,18
"2014","4","Florida","Jacksonville","JAC",345,283,26,576,NA,NA,NA,13
"2014","4","Florida","Kendall","KND",393,608,52,911,NA,15,NA,23
"2014","4","Florida","Miami ","MIA",761,1262,69,2337,NA,34,NA,102
"2014","4","Florida","Oakland Park","OKL",963,793,95,2728,NA,24,NA,56
"2014","4","Florida","Orlando ","ORL",740,899,94,2130,NA,25,NA,11
"2014","4","Florida","TAM","TAM",672,734,70,2260,NA,21,NA,13
"2014","4","Florida","West Palm Beach","WPB",499,478,63,1062,NA,15,NA,NA
"2014","4","Georgia","Atlanta ","ATL",1509,1554,111,2743,NA,24,NA,14
"2014","4","Hawaii","Honolulu ","HHW",265,208,23,652,NA,NA,NA,10
"2014","4","Idaho","Boise ","BOI",70,146,24,103,NA,NA,NA,NA
"2014","4","Illinois","Chicago ","CHI",2068,2288,118,6414,NA,88,NA,224
"2014","4","Indiana","Indianapolis ","INP",281,338,37,599,NA,11,NA,NA
"2014","4","Iowa","Des Moines","DSM",125,47,NA,344,NA,NA,NA,23
"2014","4","Kansas","Wichita","WIC",121,141,NA,203,NA,NA,NA,11
"2014","4","Kentucky","Louisville ","LOU",163,212,29,401,NA,NA,NA,NA
"2014","4","Louisiana","New Orleans ","NOL",339,391,48,505,NA,NA,NA,NA
"2014","4","Maine","Portland ","POM",56,57,NA,73,NA,NA,NA,NA
"2014","4","Maryland","Baltimore ","BAL",1028,1128,96,2369,NA,12,NA,13
"2014","4","Massachusetts","Boston ","BOS",1141,1105,78,2297,NA,NA,NA,37
"2014","4","Massachusetts","Lawrence","LAW",388,289,33,1034,NA,NA,NA,31
"2014","4","Michigan","Detroit ","DET",599,786,81,1227,NA,43,NA,125
"2014","4","Minnesota","St. Paul ","SPM",527,347,65,1073,NA,22,NA,NA
"2014","4","Missouri","Kansas City ","KAN",282,224,23,580,NA,NA,NA,22
"2014","4","Missouri","St. Louis ","STL",156,178,14,338,NA,NA,NA,NA
"2014","4","Montana","Helena ","HEL",31,142,12,48,NA,NA,NA,NA
"2014","4","Nebraska","Omaha ","OMA",128,175,NA,297,NA,NA,NA,NA
"2014","4","Nevada","Las Vegas ","LVG",575,582,75,1016,NA,16,NA,NA
"2014","4","Nevada","Reno ","REN",73,118,13,140,NA,NA,NA,NA
"2014","4","New Hampshire","Manchester ","MAN",86,87,NA,152,NA,NA,NA,NA
"2014","4","New Jersey","Mount Laurel","MTL",403,399,40,698,NA,NA,NA,15
"2014","4","New Jersey","Newark ","NEW",2193,2175,173,3518,NA,22,NA,25
"2014","4","New Mexico","Albuquerque ","ABQ",179,157,10,272,NA,NA,NA,NA
"2014","4","New York","Albany ","ALB",104,91,NA,246,NA,NA,NA,13
"2014","4","New York","Buffalo ","BUF",197,270,26,474,NA,11,NA,60
"2014","4","New York","Long Island","LNY",1270,988,46,3060,NA,10,NA,74
"2014","4","New York","New York ","NYC",3658,4385,758,8161,NA,43,19,315
"2014","4","New York","Queens","QNS",1253,1415,42,2814,NA,11,NA,72
"2014","4","North Carolina","Charlotte ","CLT",445,498,34,790,NA,NA,NA,NA
"2014","4","North Carolina","Raleigh","RAL",377,464,38,738,NA,NA,NA,27
"2014","4","Ohio","Cincinnati ","CIN",115,129,NA,321,NA,NA,NA,NA
"2014","4","Ohio","Cleveland ","CLE",214,229,19,379,NA,NA,NA,NA
"2014","4","Ohio","Columbus","CLM",222,316,35,304,NA,NA,NA,NA
"2014","4","Oklahoma","Oklahoma City ","OKC",283,320,25,969,NA,18,NA,18
"2014","4","Oregon","Portland ","POO",356,262,NA,1052,NA,NA,NA,NA
"2014","4","Pennsylvania","Philadelphia","PHI",991,1025,77,2075,NA,12,NA,20
"2014","4","Pennsylvania","Pittsburgh ","PIT",184,149,21,394,NA,NA,NA,NA
"2014","4","Rhode Island","Providence ","PRO",165,182,21,298,NA,NA,NA,NA
"2014","4","South Carolina","Charleston ","CHL",230,265,36,399,NA,NA,NA,NA
"2014","4","Tennessee","Memphis ","MEM",435,461,42,720,NA,NA,NA,NA
"2014","4","Texas","Dallas ","DAL",1777,790,217,5624,NA,18,NA,238
"2014","4","Texas","El Paso ","ELP",559,676,34,868,NA,12,NA,38
"2014","4","Texas","Harlingen ","HLG",600,566,39,984,NA,NA,NA,10
"2014","4","Texas","Houston ","HOU",2063,2042,262,2934,NA,153,NA,399
"2014","4","Texas","San Antonio ","SNA",1064,1204,54,1722,NA,64,NA,27
"2014","4","Utah","Salt Lake City ","SLC",472,564,15,958,NA,10,NA,21
"2014","4","Vermont","St. Albans ","STA",36,40,12,133,NA,NA,NA,NA
"2014","4","Virginia","Norfolk ","NOR",317,243,26,636,NA,NA,NA,NA
