address,price,floor_size,bathrooms,bedrooms,est_mortgage,zprice,latitude,longitude,FACTS,FEATURES,APPLIANCES INCLUDED,ROOM TYPES,CONSTRUCTION,ADDITIONAL FEATURES,OTHER
Room count: 9
Stories: 2
Structure type: Split level
Unit count: 2",,"
Floor size: 1,880 sqft
Heating: Gas
Laundry: In Unit
Zillow Home ID: 2096968352
"

"2685 E 22nd St # 2D,
Brooklyn, NY 11235","$460,000 ",665 sqft,1 bath,1 bed,"$1,763 ","$430,022 ",40586600,-73946800,,"


","
Dishwasher

",,"
Unit count: 1

",,"
Floor size: 665 sqft
Zillow Home ID: 2096501530
"

"27110 Grand Central Pkwy # PHC,
Floral Park, NY 11005","$1,899,000 ",#NAME?,4 baths,3 beds,"$7,487 ","$1,507,121 ",40756800,-73714200,,"
Doorman
Elevator
Pool",,,,,"
Zillow Home ID: 2098310180

"

"8265 165th St,
Jamaica, NY 11432","$829,000 ","2,000 sqft",3 baths,3 beds,"$3,268 ","$840,307 ",40717825,-73800960,,"
700 sqft basement
Finished basement
Flooring: Hardwood, Tile
Garden
Lawn
Parking: Garage - Attached, Garage - Detached, 250 sqft garage
Skylight
Storage","
Dryer
Washer
","
Breakfast nook
Dining room
Walk-in closet","
Exterior material: Brick
Roof type: Other
Room count: 8
Stories: 2
Structure type: Colonial
Unit count: 1","
Guest parking
Living room
","
Floor size: 2,000 sqft
Heating: Gas
Last remodel year: 1930
Laundry: In Unit
Parcel #: 070450024
Zillow Home ID: 32077339"

"2130 E 18th St,
Brooklyn, NY 11229","$1,198,000 ","1,320 sqft",1 bath,3 beds,"$4,723 ",(1/17),40598370,-73953555,,"
Fenced Yard
Finished basement
Flooring: Hardwood
Garden
Lawn
Parking: Garage - Attached, Off street, On street, 3 spaces
Porch","
Dryer
Freezer
Microwave
Range / Oven
Refrigerator
Washer","
Dining room
Family room
Laundry room","
Exterior material: Brick
Stories: 2
",,"
Floor size: 1,320 sqft
Last remodel year: 1925
Laundry: In Unit
Parcel #: 073500080
Zillow Home ID: 30744558"

"11133 166th St # 1,
Jamaica, NY 11433","$449,000 ",#NAME?,3 baths,3 beds,"$1,721 ","$479,871 ",40692670,-73785160,,"

",,,,,"
Last remodel year: 2016
Zillow Home ID: 2097161019
"

"23928 148th Ave,
Jamaica, NY 11422","$429,000 ","1,400 sqft",2 baths,3 beds,"$1,645 ",(12/7),40654484,-73744335,,"
800 sqft basement
Parking: Garage - Detached
",,,"
Stories: 2

","
Sewer Type: Municipal
Water Source Type: Municipal
Garage Type: Yes
HOA or Building Fee: 0.00
Bonus Room: yes","
Floor size: 1,400 sqft
Last remodel year: 1991
Parcel #: 137430020
Zillow Home ID: 32213665
"

"7764 79th Pl,
Glendale, NY 11385","$679,000 ","1,664 sqft",1 bath,3 beds,"$2,650 ","$589,080 ",40705040,-73871005,,"
Finished basement
Flooring: Carpet, Hardwood
Parking: Garage - Detached
","
Dishwasher
Dryer
Washer","
Dining room

","
Exterior material: Vinyl
Stories: 2
Structure type: Colonial
Unit count: 1
",,"
Floor size: 1,664 sqft
Heating: Gas
Last remodel year: 1920
Laundry: In Unit
Parcel #: 038160078
Zillow Home ID: 32017832"

"1109 Ditmas Ave,
Brooklyn, NY 11218","$1,996,000 ","3,381 sqft",5 baths,8 beds,"$7,869 ",(1/27),40635860,-73966905,,"
Attic
Barbecue
Cable Ready
Ceiling Fan
Deck
Dock
Double Pane/Storm Windows
Fenced Yard
Finished basement
Fireplace
Flooring: Hardwood, Tile, Other
Furnished
Garden
Hot Tub/Spa
Intercom
Jetted Tub
Lawn
Mother-in-Law Apartment
Parking: Garage - Attached, Garage - Detached, On street
Patio
Porch
Sauna
Security System
Skylight
Sprinkler System
Storage
Transportation
View: Territorial
Wired","
Dishwasher
Dryer
Freezer
Microwave
Range / Oven
Refrigerator
Washer","
Breakfast nook
Dining room
Family room
Laundry room
Library
Master bath
Office
Pantry
Recreation room
Sun room
Walk-in closet
Workshop","
Exterior material: Brick, Cement concrete, Composition, Other, Stone
Roof type: Other
Room count: 21
Stories: 3
Structure type: Other
Unit count: 2","
Living room
Stainless steel appliances
","
Floor size: 3,381 sqft
Heating: Gas
Last remodel year: 2007
Laundry: In Unit
Parcel #: 051750046
Zillow Home ID: 30668152"

"2580 Schurz Ave,
Bronx, NY 10465","$1,999,000 ","3,900 sqft",5 baths,6 beds,"$7,881 ","$978,018 ",40811773,-73826089,,"
Attic
Cable Ready
Dock
Double Pane/Storm Windows
Fenced Yard
Flooring: Hardwood
Garden
Lawn
Parking: Garage - Attached, 2 spaces
Patio
Security System
Skylight
Transportation
Unfinished basement
View: Water
Waterfront","
Dishwasher
Dryer
Microwave
Range / Oven
Refrigerator
Washer","
Dining room
Family room
Master bath
Walk-in closet
","
Exterior material: Brick
Stories: 3
Structure type: Colonial
Unit count: 1
","
Amenities: Close to Bus
Amenities: Close to Park
Amenities: Close to School
Amenities: Close to Shops
Garbage: Public
Heating Fuel: Natural Gas
Parking: Driveway
Property Type: Multi-Family 2-4
Status: Active
Water Description: Municipal
Amenities: 1st Floor Bedrm
Amenities: Patio
Post Office: Bronx
Siding Description: Brick
Village: Bronx
Amenities: Storage
Amenities: Water View
Attic Description: None
Style: Contemporary
Basement Description: Partially Finished
Parking: 4+ Car Detached
Amenities: Deck
Hotwater: Gas Stand Alone
Year Built Exception: Actual
Heating Type: Base Board
Parking: Garage Parking
Amenities: Fenced
Amenities: Waterfront
Amenities: Balcony
Sq Ft Source: Municipality
Amenities: Hardwood Floors As Seen
Amenities: Water Access
Air Conditioning: Wall Units
Amenities: Beach
Amenities: Golf Course
Sewer Description: Municipal
Construction Description: Block
Construction Description: Brick","
Floor size: 3,900 sqft
Heating: Gas
Last remodel year: 1980
Laundry: In Unit
Parcel #: 056070077
Zillow Home ID: 29850020"

"50 Brighton 1st Rd # I17DA,
Brooklyn, NY 11235","$619,000 ",#NAME?,2 baths,2 beds,"$2,416 ",,40575190,-73966780,,"
Elevator
Patio
Pool","
Dishwasher
Microwave
Range / Oven
Refrigerator
",,,,"
Zillow Home ID: 2096950140

"

"2140 E 71st St,
Brooklyn, NY 11234","$995,000 ","2,100 sqft",3 baths,5 beds,"$3,923 ","$765,204 ",40618890,-73906765,,"
Barbecue
Fenced Yard
Lawn
Parking: Garage - Detached, 2 spaces, 400 sqft garage
Sprinkler System",,,"
Exterior material: Brick
Roof type: Shake Shingle
Stories: 2
Structure type: Ranch
Unit count: 2",,"
Floor size: 2,100 sqft
Last remodel year: 2005
Parcel #: 084300058
Zillow Home ID: 30782576
"

"1801 Mcgraw Ave,
Bronx, NY 10472","$100,000 ",#NAME?,3 baths,4 beds,$396 ,"$406,076 ",40834280,-73866610,,"

","
Refrigerator

","
Dining room

","
Stories: 0
Structure type: Colonial
","
Detached/Attached: Det
Driveway: Pvt
STATUS: A
Last Status Change: PC
County: O
Zone: 99
# Fireplaces: 0
Dryer: 0
Washer: 0
# Kitchens: 0
TEMPORARILY OFF MARKET (TOM): Y","
Parcel #: 038810008
Zillow Home ID: 29798313
"

"660 Saint Nicholas Ave APT 43,
New York, NY 10030","$170,000 ",370 sqft,1 bath,1 bed,$666 ,"$4,903,968 ",40822422,-73945167,,"

",,,,,"
Floor size: 370 sqft
Parcel #: 20510033006600000000043
Zillow Home ID: 124718916"

"25502 149th Ave,
Jamaica, NY 11422","$255,700 ",#NAME?,2 baths,4 beds,$980 ,"$463,294 ",40652735,-73734160,,"
Parking: Garage - Detached
",,,"
Stories: 2

","
Sewer Type: Municipal
Water Source Type: Municipal
Residential Style: Other
HOA or Building Fee: 0.00
","
Parcel #: 136690004
Zillow Home ID: 32212347
"

"11915 193rd St,
Jamaica, NY 11412","$208,300 ",#NAME?,2 baths,4 beds,$816 ,"$493,219 ",40689445,-73756724,,"

",,,"
Stories: 3

","
Sewer Type: Municipal
Water Source Type: Municipal
Residential Style: Other
HOA or Building Fee: 0.00
","
Parcel #: 126490057
Zillow Home ID: 32194532
"

"221 Cuba Ave,
Staten Island, NY 10306","$350,000 ","1,715 sqft",3 baths,4 beds,,"$471,812 ",40562912,-74109470,,"


","
Dryer
Refrigerator
Washer","
Dining room

","
Stories: 0
Structure type: Contemporary
","
Class: Res
Detached/Attached: Det
Driveway: Pvt
Fuel: Gas
Last Status Change: NEW
STATUS: A
Heat: Hw
Short Sale?: Y
County: O
Zone: 99
# Fireplaces: 0
# Kitchens: 2","
Floor size: 1,715 sqft
Laundry: In Unit
Parcel #: 040520054
Zillow Home ID: 32335020
"
