USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Total,,,"142,702","142,278","9,511","292,841","65,302","37,036","5,383","537,609","208,004","179,314","14,894","830,450"
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,Christiansted ,CHR, D , D , D ,37, -   , -   , -   , D , D , D , D ,39
Puerto Rico,,, , , , , , , , ,,,,
,San Juan ,SAJ,109,161,27,302, -   , D , D ,10,109,165,29,312
Service Center,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,
,California,WSC,"1,690","8,017","1,390","10,960","63,380","32,646","4,146","389,014","65,070","40,663","5,536","399,974"
,Nebraska,NSC,"54,549","59,420","2,553","85,466","1,144","2,019",284,"2,849","55,693","61,439","2,837","88,315"
,Texas,SSC,"5,848","4,697",470,"12,681",159,242,146,404,"6,007","4,939",616,"13,085"
,Vermont,ESC, -   ,"1,048",722,"6,880", D ,873,616,"140,508", D ,"1,921","1,338","147,388"
,Potomac,YSC,"26,037","12,257",89,"32,873",538,296, D ,821,"26,575","12,553",95,"33,694"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,
- Represents zero,,,,,,,,,,,,,,
"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-based Preferences.",,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,
"NOTE:  1) Some applications approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,,
             2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool (PRT), March 2016",,,,,,,,,,,,,,
