,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,
,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,
,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,
 ,,,,,,,,,,,,,,
Total,," 131,962 "," 73,718 "," 8,630 "," 352,855 "," 85,713 "," 87,977 "," 4,195 "," 533,080 "," 217,675 "," 161,695 "," 12,825 "," 885,935 ",
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,Hagatna, 190 , 108 , 30 , 411 , D , D , -   , D , 194 , 109 , 30 , 418 ,
U.S. Virgin Islands,,,,,,,,,,,,,,
,Charlotte Amalie, 74 , 42 , D , 278 , D , -   , -   , D , 75 , 42 , D , 281 ,
,Christiansted , 26 , D , D , 59 , D , -   , -   , D , 27 , D , D , 68 ,
Puerto Rico,,,,,,,,,,,,,,
,San Juan , 492 , 217 , 12 ," 1,971 ", 29 , D , -   , 70 , 521 , 219 , 12 ," 2,041 ",
,,,,,,,,,,,,,,
Service Center,,,,,,,,,,,,,,
,California, 219 ," 2,740 "," 2,519 "," 4,757 "," 43,689 "," 63,085 "," 2,786 "," 355,623 "," 43,908 "," 65,825 "," 5,305 "," 360,380 ",
,Nebraska, -   , 78 , -   , -   , D ," 6,478 ", D ," 19,379 ", D ," 6,556 ", D ," 19,379 ",
,Texas, -   , 70 , 36 , 30 , D ," 4,172 ", 256 ," 1,512 ", D ," 4,242 ", 292 ," 1,542 ",
,Vermont, 172 ," 1,692 ", 631 ," 12,890 "," 34,925 "," 13,332 ", 980 ," 140,792 "," 35,097 "," 15,024 "," 1,611 "," 153,682 ",
,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,
- Represents zero,,,,,,,,,,,,,,
"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-based Preferences.",,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,
"NOTE:  1) Some applications approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,,
               2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), November 2013",,,,,,,,,,,,,,
