,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,
 ,,,,,,,,,,,,,,,
Total,,," 163,729 "," 143,909 "," 9,699 "," 312,443 "," 74,639 "," 33,292 "," 5,098 "," 577,951 "," 238,368 "," 177,201 "," 14,797 "," 890,394 ",
,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,
,Port-au-Prince,PAP,11, D , D , D ,N/A,N/A,N/A,N/A,11, D , D , D ,
India,,, , , , , , , , , , , , ,
,New Delhi,NDI,58,73, -   , D ,N/A,N/A,N/A,N/A,58,73, -   , D ,
Italy,,, , , , , , , , , , , , ,
,Rome,RIT,113,214,51,45,N/A,N/A,N/A,N/A,113,214,51,45,
Jordan,,, , , , , , , , , , , , ,
,Amman,AMM,60,101, D ,64,N/A,N/A,N/A,N/A,60,101, D ,64,
Kenya,,, , , , , , , , , , , , ,
,Nairobi,NBO, D ,19, D , D ,N/A,N/A,N/A,N/A, D ,19, D , D ,
Mexico,,, , , , , , , , , , , , ,
,Ciudad Juarez,CDJ,32,31, -   , D ,N/A,N/A,N/A,N/A,32,31, -   , D ,
,Mexico City,MEX,87,94, D , D ,N/A,N/A,N/A,N/A,87,94, D , D ,
,Monterrey,MTR,15,17, D , D ,N/A,N/A,N/A,N/A,15,17, D , D ,
Peru,,, , , , , , , , , , , , ,
,Lima,LIM,43,35, -   ,11,N/A,N/A,N/A,N/A,43,35, -   ,11,
Philippines,,, , , , , , , , , , , , ,
,Manila,MPH,135,173,14,40,N/A,N/A,N/A,N/A,135,173,14,40,
Russia,,, , , , , , , , , , , , ,
,Moscow,MOS,17,17, -   , - ,N/A,N/A,N/A,N/A,17,17, -   , - ,
South Africa,,, , , , , , , , , , , , ,
,Johannesburg,JHS,38,41, - , D ,N/A,N/A,N/A,N/A,38,41, - , D ,
South Korea,,, , , , , , , , , , , , ,
,Seoul,SEK,267,273, D ,69,N/A,N/A,N/A,N/A,267,273, D ,69,
Thailand,,, , , , , , , , , , , , ,
,Bangkok,BKK,73,77, D ,18,N/A,N/A,N/A,N/A,73,77, D ,18,
United Kingdom,,, , , , , , , , , , , , ,
,London,LDN,394,257,64,217,N/A,N/A,N/A,N/A,394,257,64,217,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,
- Represents zero,,,,,,,,,,,,,,,
"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-based Preferences. International Field Offices only accept I-130 filings for ",,,,,,,,,,,,,,,
    immediate relatives of U.S. citizens residing in the country in which the Field Office is located. ,,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,
"NOTE:  1) Some applications approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,,,
             2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,
"Sources:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool (PRT), June 2016; Department of Homeland Security, U.S. Citizenship and Immigration Services, CAMINO, June 2016.",,,,,,,,,,,,,,,
