"Number of I-130 Alien Relative Petitions by Category of Relatives, Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,
"January 1- March 31, 2014",,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status
,,Immediate Relative1,Immediate Relative1,Immediate Relative1,Immediate Relative1,All Other Relative1,All Other Relative1,All Other Relative1,All Other Relative1,Total,Total,Total,Total
,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,
Total,,"126,952","187,415","10,959","313,111","62,442","51,345","8,547","526,906","189,394","238,760","19,506","840,017"
,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,
,Norfolk ,284,324,25,526, D , D , -   , D ,285,326,25,535
Washington,,,,,,,,,,,,,
,Seattle ,685,610,47,"1,272", -   ,10, -   , D ,685,620,47,"1,280"
,Spokane ,35,47, D ,40, -   , -   , -   , D ,35,47, D ,42
,Yakima,74,195, D ,148, -   , D , -   , D ,74,196, D ,151
Wisconsin,,,,,,,,,,,,,
,Milwaukee ,272,244,37,482, -   , D , D ,14,272,250,38,496
Field Office by Territory6,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,
,Hagatna,97,93,11,161, -   , D , -   , -   ,97,95,11,161
U.S. Virgin Islands,,,,,,,,,,,,,
,Charlotte Amalie,18,50,11,33, -   , -   , -   , D ,18,50,11,34
,Christiansted ,, D , -   ,20, -   , -   , -   , -   , -   , D , -   ,20
Puerto Rico,,,,,,,,,,,,,
,San Juan ,114,370,113,338, -   , D ,48,47,114,374,161,385
Service Center,,,,,,,,,,,,,
,California,319,"47,234","2,484","19,553","47,689","32,185","4,879","373,067","48,008","79,419","7,363","392,620"
,Nebraska,"57,050","52,379",853,"121,977","1,774","4,448",624,"5,722","58,824","56,827","1,477","127,699"
,Texas,"11,605","30,571",450,"36,952",329,"1,609",99,"1,454","11,934","32,180",549,"38,406"
,Vermont,"12,322","4,216","1,946","31,986","12,572","11,347","2,663","142,011","24,894","15,563","4,609","173,997"
,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,
"""-"" Represents zero",,,,,,,,,,,,,
"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-based Preferences.",,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,
"NOTE:  1) Some applications approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,
               2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), April 2014",,,,,,,,,,,,,
