,,, I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , I-130 IMMEDIATE RELATIVE , TOTAL , TOTAL , TOTAL , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , I-130 ALL OTHER RELATIVE , TOTAL , TOTAL , TOTAL ,Total Alien Relative Petitions,Total Alien Relative Petitions,Total Alien Relative Petitions
,,, First Quarter , First Quarter , First Quarter , Second Quarter , Second Quarter , Second Quarter , Third Quarter , Third Quarter , Third Quarter , Fourth Quarter , Fourth Quarter , Fourth Quarter , TOTAL , TOTAL , TOTAL , First Quarter , First Quarter , First Quarter , Second Quarter , Second Quarter , Second Quarter , Third Quarter , Third Quarter , Third Quarter , Fourth Quarter , Fourth Quarter , Fourth Quarter , TOTAL , TOTAL , TOTAL ,Total Alien Relative Petitions,Total Alien Relative Petitions,Total Alien Relative Petitions
Fiscal Year,Office,Description, Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Completions , Pending , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Approvals , Denials , Receipts , Completions , Pending , Receipts , Completions , Pending 
2011,LNY,LONG ISLAND NY,"1,287",657,21,943,818,46,"1,227","1,131",57,"1,211","1,618",187,"4,668","4,535","2,017",7,28,1,4,12,2,1,10,2,1,10,3,13,68,11,"4,681","4,603","2,028"
2011,LOS,LOS ANGELES CA ,"3,021","2,468",268,"2,344","2,286",168,"3,152","2,419",252,"2,912","3,394",415,"11,429","11,670","6,952",5,"2,205","1,094",4,817,298,4,461,123,5,362,159,18,"5,519",328,"11,447","17,189","7,280"
2011,LOU,LOUISVILLE KY ,169,146,16,148,168,29,149,147,24,183,151,15,649,696,264,1,19,8, - ,4, - ,1,2,1,1,2,1,3,37,5,652,733,269
2011,LVG,LAS VEGAS NV ,595,414,83,507,546,82,669,649,73,580,646,103,"2,351","2,596",875,4,9,4,1,16,7,1,20,2,1,10,1,7,69,18,"2,358","2,665",893
2011,MAN,MANCHESTER NH ,103,98,13,84,104,9,107,92,7,93,72,11,387,406,154, - ,4,5, - ,6,7, - , - , - , - , - , - , - ,22,3,387,428,157
2011,MEM,MEMPHIS TN ,410,338,38,389,386,35,422,462,41,395,470,49,"1,616","1,819",719, - ,17, - , - ,19,4,2,3,1, - ,13, - ,2,57,102,"1,618","1,876",821
2011,MIA,MIAMI FL ,775,613,97,621,"1,015",135,844,854,91,805,766,130,"3,045","3,701","1,428",3,10,4,4,33,18,5,7,8,4,9,6,16,95,31,"3,061","3,796","1,459"
2011,MIL,MILWAUKEE WI ,264,212,21,197,263,23,271,220,18,251,284,32,983,"1,073",283,1,18,12,1,9,6, - ,2,6, - ,25,4,2,82,74,985,"1,155",357
2011,MTL,MOUNT LAUREL NJ,452,406,20,381,488,36,505,409,31,511,481,58,"1,849","1,929",808, - ,594,52,1,239, - , - ,4,2, - ,2,1,1,894,33,"1,850","2,823",841
2011,NEW,NEWARK NJ ,"2,498","2,208",137,"1,867","2,455",182,"2,564","2,795",169,"2,363","2,521",173,"9,292","10,640","3,253",7,243,52,1,110,110,11,37,11,2,7,2,21,572,166,"9,313","11,212","3,419"
2011,NOL,NEW ORLEANS LA ,311,240,32,239,349,26,300,325,22,302,333,40,"1,152","1,367",357,2,79,35,2,14,8,4,2,2,1,10,1,9,151,10,"1,161","1,518",367
2011,NOR,NORFOLK VA ,282,190,12,244,211,20,295,295,20,262,271,17,"1,083","1,036",616, - ,29,5, - , - , - , - ,1, - , - ,1,1, - ,37,21,"1,083","1,073",637
2011,NYC,NEW YORK NY ,"3,426","2,807",511,"2,883","2,707",479,"3,536","2,840",733,"3,080","4,721","1,153","12,925","15,951","9,245",3,140,92,2,162,63,1,142,108,4,118,66,10,891,"1,655","12,935","16,842","10,900"
2011,OKC,OKLAHOMA CITY OK ,285,159,25,175,177,22,244,289,24,256,278,42,960,"1,016",419,1,9,1, - , - , - ,1, - , - , - ,10, - ,2,20,29,962,"1,036",448
2011,OKL,OAKLAND PARK FL,"1,122",620,116,936,"1,154",152,"1,172","1,102",144,"1,093","1,234",331,"4,323","4,853","1,544",7,137,95,5,13,22,9,25,10,3,28,19,24,349,16,"4,347","5,202","1,560"
2011,OMA,OMAHA NE ,128,164,18,106,182,18,134,134,15,121,201,21,489,753,113,1,119,45,3,43,22, - ,4, - , - ,1, - ,4,234,78,493,987,191
2011,ORL,ORLANDO FL ,820,561,123,596,801,153,885,779,144,783,658,155,"3,084","3,374","1,511",8,230,148,5,74,69,6,27,32,1,35,14,20,629,18,"3,104","4,003","1,529"
2011,PHI,PHILADELPHI PA ,"1,085","1,020",142,816,"1,035",157,"1,018","1,186",189,971,"1,218",237,"3,890","5,184","1,018",6,426,56,1,358,168, - ,48,12,3,16,5,10,"1,089",4,"3,900","6,273","1,022"
2011,PHO,PHOENIX AZ ,819,"1,071",33,702,970,47,997,953,43,789,788,66,"3,307","3,971","1,399",7,"1,527",578,3,158,259,3,104,18,3,31,9,16,"2,684",52,"3,323","6,655","1,451"
2011,PIT,PITTSBURGH PA ,176,108,4,161,216,12,160,170,6,216,216,9,713,741,313, - ,29,12, - ,11, - , - ,5, - , - ,4, - , - ,61,8,713,802,321
2011,POM,PORTLAND ME ,51,52,5,51,56,5,52,70,10,49,62,6,203,266,86, - , - , - , - , - , - , - , - , - ,1, - , - ,1, - ,1,204,266,87
2011,POO,PORTLAND OR ,303,231,4,197,299,4,290,267,11,298,280,9,"1,088","1,105",527,4,48,25, - ,52,8,1,23, - ,1,5, - ,6,161,7,"1,094","1,266",534
2011,PRO,PROVIDENCE RI ,223,200,23,147,229,19,191,237,24,180,197,28,741,957,261, - ,29,8, - ,41,8,1,60,21,1,18,11,2,196,13,743,"1,153",274
2011,RAL,RALEIGH NC,424,313,21,355,571,26,457,464,45,421,504,90,"1,657","2,034",694,4,114,40,1,30,16, - ,21,2, - ,9,2,5,234,12,"1,662","2,268",706
2011,REN,RENO NV ,112,90,1,81,110,17,76,127,19,85,56,16,354,436,109, - , - , - ,1,5, - , - ,18, - , - ,24, - ,1,47,9,355,483,118
2011,SAA,SANTA ANA CA,888,635,58,796,919,53,912,901,50,903,931,67,"3,499","3,614","1,643",3,975,443,4,239,78,1,22,4,2,4,5,10,"1,770",35,"3,509","5,384","1,678"
